"1;760161;Orphan: First Kill;en;27/07/2022;Horror, Thriller;"
"2;760741;Beast;en;11/08/2022;Adventure, Drama, Horror;"
"3;882598;Smile;en;23/09/2022;Horror, Mystery, Thriller;"
"4;756999;The Black Phone;en;22/06/2022;Horror, Thriller;"
"5;772450;Presences;es;07/09/2022;Horror;"
"6;1014226;Sonríe;es;18/08/2022;Horror, Thriller;"
"7;717728;Jeepers Creepers: Reborn;en;15/09/2022;Horror, Mystery, Thriller;"
"8;762504;Nope;en;20/07/2022;Horror, Mystery, Science Fiction, Thriller;"
"9;927341;Hunting Ava Bravo;en;01/04/2022;Action, Adventure, Crime, Drama, Horror, Mystery, Thriller, War;"
"10;760104;X;en;17/03/2022;Horror, Mystery, Thriller;"
"11;836225;The Exorcism of God;en;11/03/2022;Horror;"
"12;801071;The Jack in the Box: Awakening;en;24/02/2022;Horror;"
"13;852830;Torn Hearts;en;20/05/2022;Horror, Music, Thriller;"
"14;758724;The Cellar;en;25/03/2022;Horror, Mystery;"
"15;816952;My Best Friend's Exorcism;en;29/09/2022;Comedy, Horror;"
"16;755566;Day Shift;en;10/08/2022;Action, Comedy, Fantasy, Horror;"
"17;896448;Beneath the Surface;en;01/04/2022;Fantasy, Horror, Mystery, Thriller;"
"18;629015;Shut In;en;24/03/2022;Horror, Thriller;"
"19;661791;The Grandmother;es;28/01/2022;Drama, Horror;"
"20;25853;Dahmer;en;21/06/2002;Drama, Horror;"
"21;945657;Titanic 666;en;15/04/2022;Horror, Thriller;"
"22;871832;Visitor;es;11/02/2021;Horror;"
"23;610253;Halloween Kills;en;14/10/2021;Horror, Thriller;"
"24;864370;Incantation;zh;18/03/2022;Horror;"
"25;756681;Veneciafrenia;es;22/04/2022;Horror;"
"26;632727;Texas Chainsaw Massacre;en;18/02/2022;Horror, Thriller;"
"27;646385;Scream;en;12/01/2022;Horror, Mystery, Thriller;"
"28;613093;Valley of the Dead;es;08/10/2020;Comedy, Horror, War;"
"29;616820;Halloween Ends;en;12/10/2022;Horror, Mystery, Thriller;"
"30;49690;Smile;it;28/08/2009;Horror, Thriller;"
"31;21208;Orphan;en;24/07/2009;Horror, Mystery, Thriller;"
"32;825808;See for Me;en;07/01/2022;Crime, Drama, Horror, Mystery, Thriller;"
"33;831410;Bring It On: Cheer or Die;en;27/09/2022;Comedy, Horror, Thriller, TV Movie;"
"34;833425;No Exit;en;25/02/2022;Horror, Mystery, Thriller;"
"35;816977;They/Them;en;24/07/2022;Horror, Thriller;"
"36;803114;The Requin;en;28/01/2022;Horror, Thriller;"
"37;55341;Jeepers Creepers 3;en;26/09/2017;Horror, Mystery, Thriller;"
"38;423108;The Conjuring: The Devil Made Me Do It;en;25/05/2021;Horror, Mystery, Thriller;"
"39;460458;Resident Evil: Welcome to Raccoon City;en;24/11/2021;Action, Horror, Science Fiction;"
"40;960258;Shark Bait;en;13/05/2022;Action, Adventure, Horror, Thriller;"
"41;639721;The Addams Family 2;en;01/10/2021;Adventure, Animation, Comedy, Family, Fantasy, Horror;"
"42;474350;It Chapter Two;en;04/09/2019;Fantasy, Horror;"
"43;852485;She Will;en;15/07/2022;Drama, Horror, Thriller;"
"44;895744;Studio 666;en;24/02/2022;Comedy, Horror, Music;"
"45;708471;The Last Zombie;es;02/12/2021;Horror;"
"46;869399;The Passenger;es;03/06/2022;Horror;"
"47;697799;WarHunt;en;21/01/2022;Action, Fantasy, Horror, Thriller, War;"
"48;632357;The Unholy;en;31/03/2021;Horror, Mystery;"
"49;814800;Goodnight Mommy;en;16/09/2022;Drama, Horror, Thriller;"
"50;893370;Virus:32;es;21/04/2022;Horror;"
"51;602223;The Forever Purge;en;30/06/2021;Action, Horror, Thriller;"
"52;482373;Don't Breathe 2;en;12/08/2021;Horror, Thriller;"
"53;8922;Jeepers Creepers;en;01/07/2001;Horror, Thriller;"
"54;531219;Roald Dahl's The Witches;en;25/10/2020;Adventure, Comedy, Family, Fantasy, Horror;"
"55;820511;Ripper Untold;en;28/06/2021;Horror;"
"56;982543;V for Vengeance;en;07/06/2022;Action, Horror;"
"57;138843;The Conjuring;en;18/07/2013;Horror, Thriller;"
"58;11351;Jeepers Creepers 2;en;08/08/2003;Horror;"
"59;830788;The Invitation;en;24/08/2022;Horror, Thriller;"
"60;897424;Dark Cloud;en;09/05/2022;Horror, Science Fiction, Thriller;"
"61;829358;Queen of Spades;en;11/06/2021;Horror;"
"62;926762;Living with Chucky;en;13/08/2022;Documentary, Horror;"
"63;870671;The Hunting;en;21/01/2022;Horror;"
"64;938596;Bull Shark;en;05/02/2022;Horror, Thriller;"
"65;424139;Halloween;en;18/10/2018;Horror, Thriller;"
"66;520763;A Quiet Place Part II;en;21/05/2021;Horror, Science Fiction, Thriller;"
"67;609972;Paranormal Activity: Next of Kin;en;29/10/2021;Horror, Mystery, Thriller;"
"68;631843;Old;en;21/07/2021;Horror, Mystery, Thriller;"
"69;522444;Black Water: Abyss;en;09/07/2020;Adventure, Horror, Mystery, Thriller;"
"70;633802;Dark Spell;ru;11/02/2021;Fantasy, Horror, Mystery, Romance, Thriller;"
"71;926899;The House;en;14/01/2022;Animation, Comedy, Drama, Fantasy, Horror;"
"72;159211;The Haunting of Helena;en;14/01/2013;Horror, Thriller;"
"73;75624;Naruto Shippuden the Movie: Blood Prison;ja;30/07/2011;Action, Animation, Comedy, Horror, Mystery, Thriller;"
"74;11932;Bride of Chucky;en;16/10/1998;Comedy, Horror;"
"75;666479;Sonríe;eo;23/10/2012;Horror;"
"76;23823;Wrong Turn 3: Left for Dead;en;20/10/2009;Horror, Thriller;"
"77;775943;Tarumama;es;29/07/2021;Drama, Horror;"
"78;259693;The Conjuring 2;en;08/06/2016;Horror, Thriller;"
"79;72190;World War Z;en;20/06/2013;Action, Drama, Horror, Science Fiction, Thriller;"
"80;439079;The Nun;en;05/09/2018;Horror, Mystery, Thriller;"
"81;854535;The Legacy of Chucky;en;25/07/2021;Documentary, Horror;"
"82;811072;Two;es;23/07/2021;Horror, Thriller;"
"83;184345;A Haunted House 2;en;17/04/2014;Comedy, Horror;"
"84;71672;Wrong Turn 4: Bloody Beginnings;en;17/10/2011;Horror, Thriller;"
"85;13186;Wrong Turn 2: Dead End;en;25/08/2007;Horror, Thriller;"
"86;943221;Mal de Ojo;es;22/09/2022;Horror;"
"87;504175;Chucky's Vacation Slides;en;07/06/2005;Comedy, Horror;"
"88;561;Constantine;en;08/02/2005;Action, Fantasy, Horror;"
"89;516329;Antlers;en;28/10/2021;Drama, Horror, Mystery;"
"90;630586;Wrong Turn;en;26/01/2021;Horror, Thriller;"
"91;360784;Hidden;en;15/09/2015;Horror, Thriller;"
"92;345940;The Meg;en;09/08/2018;Action, Horror, Science Fiction;"
"93;393345;Cult of Chucky;en;23/10/2017;Horror, Thriller;"
"94;481084;The Addams Family;en;10/10/2019;Animation, Comedy, Family, Fantasy, Horror;"
"95;672582;The Deep House;en;30/06/2021;Horror;"
"96;125509;Wrong Turn 5: Bloodlines;en;23/10/2012;Horror, Thriller;"
"97;523936;Meander;fr;26/05/2021;Drama, Horror, Science Fiction, Thriller;"
